kuerzel	MLR
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5a M
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Ph-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	10
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF Ph-GK
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	13
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Ph-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	2
bemerkung3	
nachschr3	0
facharbeiten3	0
andereeingabe3	
nicht3	
abi_erst4	Q2 M-GK1
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	6
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_mue_A4_fach_und_kursart5	M GK
abi_A4_mue_bloecke5	2
abi_mue_bemerkung5	
klassenleitung_janein	ja
klassenleitung_klasse	5a
klassenleitung_nr	1
klassenleitung_aufteilung	90
kommentar	
