kuerzel	MLR
korrekturkurs0	6d M
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	9a M
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	20
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
korrekturkurs2	9c M
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	27
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
korrekturkurs3	EF Ph-GK
häufigkeit3	1
dauer3	2
dauer_anders3	
schreiber3	9
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
korrekturkurs4	Q1 M-GK
häufigkeit4	1
dauer4	135
dauer_anders4	
schreiber4	21
bemerkung4	Davon eine Facharbeit
nachschr4	nein
facharbeiten4	1
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	9a
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	
