kuerzel	STP
korrekturkurs0	5b E5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	6a D
häufigkeit1	1
dauer1	0
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	ja
andereeingabe1	
nicht1	
korrekturkurs2	8 G/C
häufigkeit2	1
dauer2	1
dauer_anders2	
schreiber2	22
bemerkung2	
nachschr2	ja
andereeingabe2	
nicht2	
abi_zweit3	Q2 E-LK von VS
häufigkeit3	normalLK
dauer3	Abi
dauer_anders3	
schreiber3	17
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	6a
klassenleitung_nr	2
klassenleitung_aufteilung	50% und 50%
kommentar	
