kuerzel	HTM
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	6 E5
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	7c E5
häufigkeit1	2
dauer1	60
dauer_anders1	
schreiber1	26
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9 B/C
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	18
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Bi-GK
häufigkeit3	2
dauer3	90
dauer_anders3	
schreiber3	16
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 Bi-GK
häufigkeit4	2
dauer4	3
dauer_anders4	
schreiber4	7
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	7v
klassenleitung_nr	1
klassenleitung_aufteilung	90-90
kommentar	Ich habe eine Praxissemesterstudierende betreut.
