kuerzel	VOG
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	EF Ek-GK
häufigkeit0	1
dauer0	2
dauer_anders0	
schreiber0	10
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Ek-LK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	21
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q2 Ek-LK
häufigkeit2	2
dauer2	5
dauer_anders2	
schreiber2	17
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
korrekturkurs3	Q2 Ek-GK
häufigkeit3	2
dauer3	4
dauer_anders3	
schreiber3	9
bemerkung3	
nachschr3	1
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
