kuerzel	MF
korrekturkurs0	5a D
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
abi_erst1	Q2 D-GK3
häufigkeit1	normalGK
dauer1	Abi
dauer_anders1	
schreiber1	8
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
klassenleitung_janein	ja
klassenleitung_klasse	5a
klassenleitung_nr	1
klassenleitung_aufteilung	60:60
kommentar	Stellen und Korrigieren der Vorabiklausuren des Kurses von Daniel Pater (inkl. Stellen von zwei Nachschreibklausuren für eine Schülerin (zwei Klausuren, da auch sie eine Auswahlmöglichkeit haben musste)). Die von mir gestellte Nachschreibklausur hat Daniel jedoch korrigiert.
