kuerzel	AT
korrekturkurs0	5d M
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	30
bemerkung0	
nachschr0	nein
andereeingabe0	
nicht0	
korrekturkurs1	Q1 M-GK
häufigkeit1	1
dauer1	135
dauer_anders1	
schreiber1	24
bemerkung1	
nachschr1	1
facharbeiten1	0
andereeingabe1	
nicht1	
abi_zweit2	Q2 M-GK1 von DR
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	4
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_zweit3	Q2 M-GK2 von KN
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	6
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
abi_zweit4	Q2 M-GK3 von WEL
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	8
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_zweit5	Q2 M-GK4 von KN
häufigkeit5	normalGK
dauer5	Abi
dauer_anders5	
schreiber5	5
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	5d
klassenleitung_nr	2
klassenleitung_aufteilung	60
kommentar	
