kuerzel	ST
deputat_korrekt_janein	ja
deputat_berichtigung	Ge Gk 1//Ge Gk 4 (Anm.KN: macht nichts, denn Kursnummern stehen nicht in der UV)
korrekturkurs0	EF Ge-GK
häufigkeit0	1
dauer0	2
dauer_anders0	
schreiber0	10
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	EF Ge-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	15
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	habe bei der Erstellung eine Abiturvorschlages geholfen  (mit Erwartungshorizont)
